GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b0423	1449	1512	1353	1874	1144	1009	1109	1748	1477	1795	1828	99.79%	99.86%	99.79%	99.72%	99.79%	99.72%	99.86%	99.79%	99.79%	99.86%	136.299494286283	130.074074797541	167.810818512792	111.657378535964	86.8396918005461	92.2203292398887	164.942952049296	122.154581756714	153.425931941661	155.673406643294	thiI	tRNA s(4)U8 sulfurtransferase; 	K03151|1|0.0|928|elp:P12B_c0435|thiamine biosynthesis protein ThiI	GO:0005737//cytoplasm	GO:0016783//sulfurtransferase activity;GO:0005524//ATP binding;GO:0000049//tRNA binding	GO:0034227//tRNA thio-modification;GO:0052837//thiazole biosynthetic process;GO:0009228//thiamine biosynthetic process;GO:0009229//thiamine diphosphate biosynthetic process
b2684	531	1226	1014	1401	927	1278	889	1358	1114	1334	1447	99.62%	99.62%	99.81%	99.44%	99.81%	99.62%	99.81%	99.81%	99.81%	99.81%	301.582951968346	266.014168226261	342.34372261422	246.896538674247	300.145492356869	201.730120337088	349.676115562133	251.413341936743	311.145848702501	336.264200250976	mprA	transcriptional repressor of microcin B17 synthesis and multidrug efflux; 	K15974|1|3e-96|353|sbc:SbBS512_E3192|MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB	GO:0005622//intracellular	GO:0003677//DNA binding;GO:0003700//sequence-specific DNA binding transcription factor activity	GO:0046677//response to antibiotic;GO:0045892//negative regulation of transcription, DNA-templated
b0219	771	477	460	369	430	961	679	459	447	564	586	99.87%	99.61%	99.74%	99.61%	99.61%	99.61%	99.87%	99.48%	99.48%	99.22%	80.8118110578689	83.1122018472214	62.0998773946974	78.875816127909	155.440613718621	106.115519350086	81.398992156623	69.4785580084149	90.599839528504	93.7885585860771	yafV	putative NAD(P)-binding C-N hydrolase family amidase; 	K01501|1|5e-17|91.7|kko:Kkor_0639|nitrilase [EC:3.5.5.1];K18540|2|6e-17|91.3|bmu:Bmul_5017|(R)-amidase [EC:3.5.1.100]	-	GO:0016810//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;GO:0016746//transferase activity, transferring acyl groups	GO:0006807//nitrogen compound metabolic process
b4362	540	327	331	239	255	640	480	417	374	518	519	99.81%	98.52%	98.89%	99.81%	99.81%	99.26%	99.07%	99.26%	99.81%	99.44%	79.0978778184515	85.3877496924829	57.427894748788	66.7845815238051	147.802475109486	107.105305735777	105.585192331556	82.9995033389613	118.80608980567	118.598779957212	dnaT	DNA biosynthesis protein (primosomal protein I); 	K02317|1|5e-78|293|sbc:SbBS512_E4902|DNA replication protein DnaT	GO:0005658//alpha DNA polymerase:primase complex	-	GO:0006269//DNA replication, synthesis of RNA primer;GO:0006267//pre-replicative complex assembly involved in nuclear cell cycle DNA replication
b2413	762	398	406	450	356	620	455	464	299	516	458	99.74%	99.21%	99.61%	99.74%	99.74%	99.48%	99.87%	99.21%	99.87%	99.74%	68.2242766128954	74.2219562234061	76.626025016503	66.0731200254042	101.468726760695	71.9481999652242	83.257569662678	47.023382770884	83.8682213628328	74.1680959725135	cysZ	EI24 family inner membrane protein; putative sulfate transporter; 	K06203|1|1e-149|531|sbc:SbBS512_E2767|CysZ protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0008272//sulfate transport;GO:0019344//cysteine biosynthetic process
b2258	387	96	89	95	78	88	66	68	69	83	104	97.16%	96.12%	98.71%	97.67%	98.97%	99.22%	97.42%	94.32%	98.97%	99.48%	32.4019469621137	32.0361542442112	31.8516103987634	28.5044999116651	28.3574516198432	20.5492737748874	24.0247384257848	21.36661757389	26.5625539746896	33.1611052978896	arnF	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit; 	K12963|1|2e-49|197|ssj:SSON53_13550|undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnF	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0022891//substrate-specific transmembrane transporter activity	GO:0006810//transport;GO:0044249//cellular biosynthetic process;GO:1901137;GO:0008610//lipid biosynthetic process;GO:0010041//response to iron(III) ion;GO:0016051//carbohydrate biosynthetic process;GO:0044255//cellular lipid metabolic process
b3610	252	943	779	888	671	1396	1198	1056	871	1206	1183	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	488.789638157272	430.624020352465	457.226274987362	376.575245398935	690.844604641213	572.822126211879	572.959728171237	414.204931674381	592.719846824206	579.28305817251	grxC	glutaredoxin 3; 	K03676|1|9e-42|172|sdz:Asd1617_05293|glutaredoxin 3	-	GO:0009055//electron carrier activity;GO:0008794//arsenate reductase (glutaredoxin) activity;GO:0015035//protein disulfide oxidoreductase activity;GO:0043295//glutathione binding	GO:0009263//deoxyribonucleotide biosynthetic process;GO:0045454//cell redox homeostasis;GO:0022900//electron transport chain
b2345	1059	38	29	33	29	26	41	33	36	32	28	93.3%	78.75%	97.36%	94.81%	63.64%	99.53%	82.25%	92.07%	82.06%	74.79%	4.68703800779867	3.81472620006984	4.04330715573389	3.87286025167208	3.06177223580203	4.66499738155119	4.26067786529603	4.07384209932033	3.74245615234373	3.26263653126981	yfdF	uncharacterized protein; 	-	-	-	-
b2820	3543	1636	1413	1787	1733	547	909	1154	1552	1416	1458	99.92%	99.83%	99.89%	99.86%	99.72%	99.58%	99.94%	99.97%	99.86%	99.77%	60.3146741344934	55.5561758476638	65.4443494269276	69.1762791935573	19.2535876631033	30.9140737448628	44.5343765315146	52.4950333325158	49.4988151682024	50.780034900652	recB	exonuclease V (RecBCD complex), beta subunit; 	K03582|1|0.0|2266|edj:ECDH1ME8569_2727|exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	GO:0009338//exodeoxyribonuclease V complex	GO:0004519//endonuclease activity;GO:0004003//ATP-dependent DNA helicase activity;GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0005515//protein binding;GO:0008854//exodeoxyribonuclease V activity	GO:0090305//nucleic acid phosphodiester bond hydrolysis;GO:0006310//DNA recombination;GO:0006302//double-strand break repair
b0890	3990	7401	7233	7101	6593	5882	7417	6511	7096	7761	8305	99.92%	99.9%	99.95%	99.92%	99.95%	99.9%	99.97%	99.95%	99.92%	99.97%	242.28601520357	252.526467607003	230.922032623418	233.689913836239	183.84321962749	223.984977248757	223.118468308787	213.126946292446	240.905929887545	256.846329926024	ftsK	DNA translocase at septal ring sorting daughter chromsomes; 	K03466|1|0.0|928|sbc:SbBS512_E2438|DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	GO:0016021//integral component of membrane	GO:0005524//ATP binding;GO:0003677//DNA binding	GO:0007049//cell cycle;GO:0051301//cell division;GO:0007059//chromosome segregation
b4541	318	3	-	3	5	3	5	1	2	1	1	44.34%	-	69.5%	85.53%	45.28%	72.96%	31.45%	62.89%	31.45%	31.45%	1.23226744048133	-	1.22408870152149	2.22368195972714	1.17649375824178	1.89455139862813	0.429965490694539	0.753703491121634	0.389471409722092	0.388042687175958	yehK	uncharacterized protein; 	-	-	-	-
b2431	900	1725	1493	1515	1231	2677	2194	2228	1708	2453	2510	99.22%	99.44%	99.33%	99.33%	99.44%	99.67%	99.89%	99.56%	99.89%	99.67%	250.355668324457	231.088659137541	218.418227308152	193.439576131304	370.938024251338	293.736300980368	338.48030002116	227.427516100983	337.565256710396	344.142124500118	yfeX	porphyrinogen oxidase, cytoplasmic; 	K07223|1|2e-172|608|edj:ECDH1ME8569_2365|putative iron-dependent peroxidase	GO:0005737//cytoplasm	GO:0020037//heme binding;GO:0046872//metal ion binding;GO:0004601//peroxidase activity	GO:0055114//oxidation-reduction process
b1154	630	6	3	14	23	18	9	12	8	13	10	51.43%	36.19%	76.35%	83.33%	94.29%	69.84%	63.97%	56.19%	77.94%	73.17%	1.24400332086687	0.663348940209189	2.88340894136174	5.16317773125216	3.56309538210368	1.72133527075356	2.60436240077835	1.52176323921701	2.55567429808115	1.95869165907865	stfP	e14 prophage; uncharacterized protein; 	-	-	-	-
b3637	237	9528	7961	10870	6195	7277	7838	10766	9997	10365	10608	99.58%	99.58%	99.58%	99.58%	99.16%	99.58%	99.58%	99.58%	99.58%	99.58%	5251.2687018061	4679.29701152373	5951.13706188648	3696.77274049119	3829.12480314302	3984.92746688459	6211.07465972968	5054.97482834655	5416.56130566538	5523.21295581813	rpmB	50S ribosomal subunit protein L28; 	K02902|1|4e-38|159|kpnu:LI86_00675|large subunit ribosomal protein L28	GO:0005840//ribosome	GO:0003735//structural constituent of ribosome	GO:0006412//translation
b1967	852	1867	2447	925	1453	1984	2165	1394	1208	1458	1672	99.41%	99.53%	99.41%	99.65%	99.65%	99.65%	99.41%	99.41%	99.53%	99.53%	286.230271133962	400.08816890293	140.870771342937	241.188062023419	290.400637715117	306.18352145857	223.709228052774	169.91236730835	211.943758555387	242.160498357639	hchA	glyoxalase III and Hsp31 molecular chaperone; 	K05523|1|6e-165|583|elp:P12B_c1056|molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130]	GO:0005829//cytosol	GO:0016787//hydrolase activity;GO:0019172//glyoxalase III activity;GO:0051082//unfolded protein binding;GO:0016829//lyase activity;GO:0008270//zinc ion binding	GO:0019243//methylglyoxal catabolic process to D-lactate;GO:0019249//lactate biosynthetic process;GO:0006950//response to stress;GO:0010447//response to acidity;GO:0042026//protein refolding;GO:0051595//response to methylglyoxal
b0492	855	2521	2461	2053	1844	2754	2218	2171	1498	3005	2854	99.88%	99.88%	99.88%	99.88%	99.88%	99.88%	99.88%	99.42%	99.88%	99.88%	385.139063216449	400.965340104691	311.559924032403	305.017382860425	401.692121498214	312.578379107833	347.179784251128	209.963280610916	435.292379434308	411.90254700077	ybbN	DnaK co-chaperone, thioredoxin-like protein; 	K05838|1|8e-149|529|ebe:B21_00448|putative thioredoxin	-	GO:0009055//electron carrier activity;GO:0015035//protein disulfide oxidoreductase activity	GO:0045454//cell redox homeostasis;GO:0006662//glycerol ether metabolic process;GO:0055114//oxidation-reduction process
b3820	468	311	312	306	258	734	513	414	245	324	394	99.15%	98.08%	98.5%	95.94%	99.79%	98.93%	98.72%	99.36%	97.65%	99.15%	86.8011291515117	92.8688516292865	84.8387630823743	77.9657105572023	195.589573432144	132.079379428975	120.952599959225	62.7361527706052	85.743628817279	103.885992225748	yigI	4HBT thioesterase family protein; 	K02614|1|6e-11|69.7|bmq:BMQ_1952|acyl-CoA thioesterase [EC:3.1.2.-]	-	-	-
b2398	345	138	106	158	114	194	100	127	121	129	149	98.55%	99.13%	99.13%	99.71%	98.26%	99.42%	98.55%	98.84%	97.97%	99.13%	52.2481394764083	42.8004272726277	59.4232973132811	46.7321266110309	70.1258482448811	34.9256431747099	50.3321342237381	42.0304390309829	46.309843969912	53.2934452283225	yfeC	DUF1323 family putative DNA-binding protein; 	-	GO:0016020//membrane	GO:0003677//DNA binding;GO:0000166//nucleotide binding;GO:0005215//transporter activity	GO:0006810//transport
b2386	1248	29	19	26	10	27	16	10	7	20	25	91.75%	70.35%	81.41%	49.28%	78.04%	77.4%	56.73%	37.9%	71.79%	86.54%	3.03524848721122	2.12080310211111	2.70319588252663	1.13322253716864	2.69801693596793	1.54478806349678	1.0955851445582	0.672173065399342	1.9848062226222	2.47190654090454	fryC	putative enzyme IIC component of PTS; 	K11203|1|0.0|780|ebe:B21_02257|PTS system, fructose-specific IIC-like component	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0005351//sugar:proton symporter activity;GO:0008982//protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	GO:0009401//phosphoenolpyruvate-dependent sugar phosphotransferase system
b2455	1404	26	17	15	20	22	13	24	22	12	38	85.75%	76.64%	63.82%	67.95%	76.5%	61.54%	82.34%	62.68%	42.95%	87.18%	2.41889534613002	1.68672059583106	1.38625429873161	2.01461784385536	1.95411926226484	1.11568026808101	2.33724830839083	1.87781681762356	1.05856331873184	3.33982039304436	eutE	aldehyde oxidoreductase, ethanolamine utilization protein; 	K04021|1|0.0|779|elp:P12B_c2557|aldehyde dehydrogenase	-	GO:0016620//oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0046336//ethanolamine catabolic process;GO:0055114//oxidation-reduction process
b1795	249	2420	1198	1448	1457	2054	2589	1659	1233	2009	2456	99.6%	99.6%	99.2%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	99.6%	1269.48290695691	670.222194288465	754.549906100928	827.541901745009	1028.71858240736	1252.84173140027	910.977727718042	593.418908931418	999.271019107932	1217.12627721253	yeaQ	UPF0410 family protein; 	-	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	-
b0686	765	485	445	472	421	899	518	520	371	567	662	99.87%	99.87%	99.87%	99.87%	99.87%	99.87%	99.87%	99.22%	99.87%	99.87%	82.8115936145688	81.0326254412402	80.0570011954554	77.830612654732	146.552674768486	81.5890417222536	92.9399915571882	58.1179284153909	91.7961202632045	106.783260566711	ybfF	acyl-CoA esterase; 	K01175|1|2e-145|518|sdy:SDY_0626|esterase [EC:3.1.-.-]	-	GO:0016290//palmitoyl-CoA hydrolase activity	-
b0681	1407	42	29	23	20	17	37	29	28	36	38	78.18%	74.34%	57.36%	59.91%	67.38%	90.76%	73.13%	86.28%	95.66%	93.18%	3.89911488629913	2.87121183075619	2.12105775004222	2.0103222834207	1.50678162924782	3.1686271153175	2.81815334412583	2.3848528375789	3.16891876225907	3.33269924082038	chiP	chitoporin, uptake of chitosugars; 	K18093|1|3e-15|87.0|ppuu:PputUW4_04307|imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]	GO:0005886//plasma membrane;GO:0009279//cell outer membrane;GO:0046930//pore complex	GO:0015288//porin activity;GO:0016787//hydrolase activity	GO:0015774//polysaccharide transport;GO:0006811//ion transport;GO:0006030//chitin metabolic process
b2278	1842	4870	2011	3182	2323	708	1403	1679	2993	2211	2307	99.95%	99.95%	99.95%	99.95%	99.95%	99.78%	99.95%	99.95%	99.95%	99.95%	345.342615703188	152.084088458058	224.14512829185	178.356677003027	47.9334981370951	91.7765129971265	124.629769121938	194.721874744517	148.662632591088	154.548428025054	nuoL	NADH:ubiquinone oxidoreductase, membrane subunit L; 	K00341|1|0.0|1117|elp:P12B_c2372|NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	GO:0005887//integral component of plasma membrane;GO:0045272//plasma membrane respiratory chain complex I	GO:0048038//quinone binding;GO:0008137//NADH dehydrogenase (ubiquinone) activity	GO:0015990//electron transport coupled proton transport;GO:0042773//ATP synthesis coupled electron transport
b3586	1137	74	69	43	67	82	60	92	67	62	89	97.98%	97.19%	94.2%	97.54%	99.03%	91.64%	98.24%	98.24%	97.27%	99.47%	8.50123641436723	8.45376090029125	4.90712075772645	8.33382019946287	8.99391710346311	6.358494403839	11.0633864518553	7.06174431918977	6.75357811264799	9.65908894674931	yiaV	membrane fusion protein (MFP) component of efflux pump, signal anchor; 	K15549|1|1e-22|111|ror:RORB6_22975|membrane fusion protein, multidrug efflux system	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	-	GO:0055085//transmembrane transport
b0873	1653	31	20	32	21	46	29	30	30	41	37	78.16%	73.14%	83.85%	53.96%	79.85%	78.52%	71.32%	69.51%	79.61%	77.8%	2.44962541404818	1.68546010216491	2.51186259864544	1.79670273769605	3.47040748045186	2.11392050794297	2.48147052705741	2.17493384915317	3.0719469086247	2.76207517078785	hcp	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases; 	K05601|1|0.0|1085|ebe:B21_00884|hydroxylamine reductase [EC:1.7.99.1]	GO:0005737//cytoplasm	GO:0046872//metal ion binding;GO:0004601//peroxidase activity;GO:0050418;GO:0051537//2 iron, 2 sulfur cluster binding	GO:0006807//nitrogen compound metabolic process;GO:0042542//response to hydrogen peroxide;GO:0055114//oxidation-reduction process
b0388	525	1337	1467	1513	1089	934	1030	1059	1213	1285	1309	99.05%	99.62%	99.05%	99.62%	99.24%	99.43%	99.81%	99.05%	99.81%	99.43%	332.6464879998	389.253158114752	373.936948138313	293.358289530449	221.862072458989	236.396710516822	275.801978242427	276.884821375536	303.142289818549	307.671285808074	aroL	shikimate kinase II; 	K00891|1|4e-93|343|sbo:SBO_0283|shikimate kinase [EC:2.7.1.71]	GO:0005737//cytoplasm	GO:0046872//metal ion binding;GO:0004765//shikimate kinase activity;GO:0005524//ATP binding	GO:0016310//phosphorylation;GO:0009423//chorismate biosynthetic process;GO:0009073//aromatic amino acid family biosynthetic process
b1130	672	1435	1545	1395	1436	2197	1998	1534	1193	1661	1841	99.7%	99.85%	99.7%	99.7%	99.7%	99.85%	99.7%	99.85%	99.85%	99.7%	278.928869600617	320.273160194749	269.354161151761	302.214261769488	407.714612212593	358.252903225584	312.11655646828	212.749634107722	306.128005464865	338.057938534105	phoP	response regulator in two-component regulatory system with PhoQ; 	K07660|1|4e-114|413|ecoa:APECO78_09610|two-component system, OmpR family, response regulator PhoP	GO:0005737//cytoplasm	GO:0000156//phosphorelay response regulator activity;GO:0003677//DNA binding	GO:0009405//pathogenesis;GO:0000160//phosphorelay signal transduction system;GO:0035556//intracellular signal transduction;GO:0006355//regulation of transcription, DNA-templated
b2374	1251	91	92	73	79	41	53	54	52	65	101	98.72%	98.88%	97.28%	98.8%	98.08%	95.04%	95.52%	93.76%	99.12%	98.72%	9.50156013659704	10.2445255993937	7.57154146472688	8.93098931930699	4.08716376764091	5.10483921222678	5.90197234708763	4.98131132261684	6.43515111027629	9.96255397819139	frc	formyl-CoA transferase, NAD(P)-binding; 	K07749|1|0.0|788|sbo:SBO_2400|formyl-CoA transferase [EC:2.8.3.16]	-	GO:0033608	GO:0033611//oxalate catabolic process
b1555	312	4	7	4	6	9	17	3	3	7	10	90.06%	83.01%	84.29%	94.55%	90.06%	91.03%	46.15%	50%	92.95%	73.08%	1.67461985501309	3.12539404521637	1.66350515847793	2.71973408920473	3.5973559146239	6.56534926986133	1.31470217346984	1.15229668354173	2.77872871167108	3.95505046544727	ydfR	Qin prophage; uncharacterized protein; 	-	-	-	-
b3655	1710	1615	1582	1366	1438	4266	2638	1694	1360	2087	2383	99.94%	99.88%	99.82%	99.88%	99.94%	99.88%	99.77%	99.94%	99.77%	99.77%	123.363662652631	128.87589761187	103.650963523688	118.930313599049	311.114486258421	185.884076665118	135.449690124692	95.3104344562235	151.157270529019	171.962818763636	yicH	putative inner membrane-anchored periplasmic AsmA family protein; 	-	-	-	-
b1676	1413	9991	5830	8012	6530	5128	6279	7268	5743	8997	9007	99.93%	99.93%	99.93%	99.86%	99.86%	99.93%	99.93%	99.86%	99.93%	99.93%	923.586626873312	574.761576431784	735.728421598416	653.583090821202	452.586241457868	535.441253753936	703.28843684713	487.073280093656	788.602702689138	786.583123651271	pykF	pyruvate kinase I; 	K00873|1|0.0|910|sdz:Asd1617_02566|pyruvate kinase [EC:2.7.1.40]	GO:0016020//membrane;GO:0005829//cytosol	GO:0004743//pyruvate kinase activity;GO:0030955//potassium ion binding;GO:0005524//ATP binding;GO:0000287//magnesium ion binding	GO:0016310//phosphorylation;GO:0006096//glycolytic process
b3630	798	362	370	314	318	539	449	418	402	436	473	98.75%	98.87%	98.75%	98.75%	98.75%	98.87%	99%	98.87%	99%	98.75%	59.2538423886586	64.5892389151053	51.0558500519316	56.3577981191597	84.2328250418369	67.7964505761709	71.6199660214046	60.3699495557802	67.6684611718654	73.1416701113842	waaP	kinase that phosphorylates core heptose of lipopolysaccharide; 	K02848|1|2e-141|504|edj:ECDH1ME8569_3515|heptose I phosphotransferase [EC:2.7.1.-]	GO:0016020//membrane	GO:0004715//non-membrane spanning protein tyrosine kinase activity;GO:0005524//ATP binding	GO:0016310//phosphorylation;GO:0009244//lipopolysaccharide core region biosynthetic process
b2719	768	66	52	40	72	62	88	46	41	68	100	99.48%	95.7%	72.27%	99.61%	93.88%	94.92%	92.32%	62.37%	94.66%	99.48%	11.2251862156346	9.43199274359941	6.75798970631658	13.2587036848731	10.0676002332877	13.8065433175025	8.18949895557255	6.39764721174731	10.9660543799876	16.0673925158795	hycG	hydrogenase 3 and formate hydrogenase complex, HycG subunit; 	K15832|1|3e-147|524|eun:UMNK88_3392|formate hydrogenlyase subunit 7	GO:0009375//ferredoxin hydrogenase complex	GO:0046872//metal ion binding;GO:0051539//4 iron, 4 sulfur cluster binding;GO:0008901//ferredoxin hydrogenase activity;GO:0048038//quinone binding;GO:0016829//lyase activity;GO:0008137//NADH dehydrogenase (ubiquinone) activity	GO:0055114//oxidation-reduction process
b3865	633	885	959	987	847	1962	1444	1088	856	1322	1241	99.53%	99.68%	99.68%	99.84%	99.68%	99.84%	99.68%	99.05%	99.53%	99.84%	182.620866653323	211.045565669397	202.316916478012	189.238496405898	386.536745480347	274.869777516224	235.009763558388	162.056966754532	258.66069946529	241.921627143358	yihA	cell division GTP-binding protein; 	K03978|1|4e-114|413|ecoj:P423_21465|GTP-binding protein	GO:0005829//cytosol	GO:0005525//GTP binding	GO:0000917//barrier septum assembly;GO:0007049//cell cycle
b3085	504	122	114	116	99	110	112	118	106	101	125	99.4%	98.61%	98.21%	98.61%	98.61%	97.82%	98.61%	97.42%	97.22%	98.81%	31.6184177386995	31.5090746599365	29.8638783212466	27.7801410540198	27.2180897244031	26.7763264339442	32.0119545095672	25.2042036495318	24.8195292409804	30.6045571731038	ygjP	putative metal dependent hydrolase; 	K07043|1|2e-93|344|elp:P12B_c3201|uncharacterized protein	-	GO:0016787//hydrolase activity	-
b1362	444	23	29	17	19	37	22	32	17	40	29	96.62%	91.44%	88.51%	92.34%	97.3%	93.92%	93.92%	90.32%	96.62%	97.97%	6.7663694141745	9.09863749070712	4.96803567599489	6.05202090120332	10.3923615311357	5.97039711027135	9.85434421916132	4.58842463176076	11.1578295758221	8.05975148904659	rzpR	-	K14744|1|5e-76|285|ecy:ECSE_1430|prophage endopeptidase [EC:3.4.-.-]	-	-	-
b4694	339	43	55	36	58	45	49	16	45	47	41	94.4%	97.94%	95.87%	95.58%	97.05%	99.12%	86.43%	97.35%	94.4%	99.71%	16.5683628133153	22.6008267239414	13.779122374649	24.1968082980574	16.5542042088888	17.4164601141142	6.45328736476051	15.907812622346	17.1712085242076	14.924190428909	yagP	-	-	-	-	-
b0437	624	3045	3169	3070	2957	5179	4968	3478	2867	4236	4444	99.68%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	637.402182314356	707.455266377906	638.370104565905	670.187808481533	1035.03923787984	959.313387431502	762.089026554684	550.605765285689	840.763915902763	878.812213422383	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases; 	K01358|1|1e-113|411|sdz:Asd1617_00367|ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	GO:0016020//membrane;GO:0005829//cytosol	GO:0004252//serine-type endopeptidase activity;GO:0005524//ATP binding	GO:0006515//misfolded or incompletely synthesized protein catabolic process;GO:0009408//response to heat
b3160	1008	1194	963	782	815	1092	1047	1058	807	1080	1122	99.9%	99.5%	99.8%	99.8%	99.8%	99.9%	99.7%	99.9%	99.8%	99.8%	154.722913032816	133.084381129469	100.661865720754	114.347550298112	135.100699904764	125.155418644373	143.51121979289	95.9424167225101	132.698473169598	137.35325259289	yhbW	putative luciferase-like monooxygenase; 	K07496|1|2e-77|292|afs:AFR_29885|putative transposase;K00540|2|5e-75|285|gfo:GFO_3489|;K00517|3|5e-30|135|spa:M6_Spy0921|	-	GO:0004497//monooxygenase activity;GO:0016705//oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0055114//oxidation-reduction process
b1344	936	879	849	1144	790	759	717	1068	870	1040	1035	99.68%	99.68%	99.25%	99.25%	99.36%	99.79%	98.93%	99.36%	99.79%	99.57%	122.665904379709	126.355216399462	158.587491774896	119.36610724843	101.125671822205	92.3010867939328	156.011324585088	111.388679409034	137.613231435139	136.449241057931	ttcA	tRNA 2-thiocytidine biosynthesis protein; 	K14058|1|0.0|635|edj:ECDH1ME8569_1288|tRNA 2-thiocytidine biosynthesis protein TtcA	GO:0005737//cytoplasm	GO:0005524//ATP binding	GO:0006400//tRNA modification
b2513	621	1967	1928	2114	1717	1677	1761	1928	1785	2072	2091	99.84%	99.84%	99.68%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	99.84%	413.736273551108	432.490690679383	441.704818988313	391.028564284308	336.772759182891	341.689209059245	424.498489865998	344.46434192059	413.238573237113	415.498113245422	yfgM	putative anti-RcsB factor; 	-	GO:0043234//protein complex;GO:0071575//integral component of external side of plasma membrane	-	-
b0504	927	15	18	21	26	37	21	25	12	27	27	47.03%	64.08%	94.71%	82.42%	95.25%	60.19%	76.81%	59.65%	68.93%	80.15%	2.11359787525924	2.70491800861999	2.93939746449498	3.9666456187754	4.9775712187964	2.72962551025645	3.68740631178164	1.55131203997851	3.60733713470753	3.59410411228994	allS	allD operon transcriptional activator; 	K10972|1|1e-173|612|ecoh:ECRM13516_0493|LysR family transcriptional regulator, transcriptional activator of the allD operon	-	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0043565//sequence-specific DNA binding	GO:0045893//positive regulation of transcription, DNA-templated
b2686	1539	630	370	631	389	353	395	560	608	678	739	99.68%	99.68%	99.74%	99.74%	99.81%	99.68%	99.81%	99.68%	99.74%	99.74%	53.4703181776109	33.490716474499	53.1997380701538	35.7470962679879	28.604316728974	30.9258740976841	49.7519522955708	47.3437452200849	54.5624391304236	59.2532862714259	emrB	multidrug efflux system protein; 	K03446|1|0.0|937|ssj:SSON53_16640|MFS transporter, DHA2 family, multidrug resistance protein	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	-	GO:0046677//response to antibiotic;GO:0055085//transmembrane transport
b2727	873	123	120	117	112	132	139	116	146	147	130	98.97%	99.2%	98.05%	97.37%	98.51%	99.43%	98.97%	99.31%	97.37%	98.4%	18.4035542829273	19.1482168307807	17.389631244295	18.1440221483715	18.8562436028854	19.1850998676198	18.1678889126462	20.0417787432962	20.8547886814077	18.37535473981	hypB	GTP hydrolase involved in nickel liganding into hydrogenases; 	K04652|1|2e-157|558|sbc:SbBS512_E3150|hydrogenase nickel incorporation protein HypB	-	GO:0016151//nickel cation binding;GO:0016829//lyase activity;GO:0008270//zinc ion binding;GO:0005515//protein binding;GO:0003924//GTPase activity;GO:0005525//GTP binding	GO:0051188//cofactor biosynthetic process;GO:0051604//protein maturation;GO:0006461//protein complex assembly;GO:0006184//GTP catabolic process
